Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-07-08,Try & Buy,Seed,5800000.0,2018,2016,New Delhi,Lifestyle
2018-07-09,Notesgen,Seed,12500000.0,2018,2016,New Delhi,Education
2018-07-10,Microchip Payments,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-07-10,Clensta,Seed,5800000.0,2018,2016,New Delhi,Automotive
2018-07-11,Stumagz,Seed,5800000.0,2018,2016,Hyderabad,Media/Entertainment
2018-07-12,LearnApp,Seed,20000000.0,2018,2016,Noida,Education
2018-07-13,Asteria Aerospace,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-07-14,Stones2Milestones,Seed,5800000.0,2018,2016,Gurgaon,Education
2018-07-14,WHR,Seed,143145.0,2018,2016,Pune,Automotive
2018-07-16,Next Digital Solutions,Angel,100000.0,2018,2016,Kota,Marketing
2018-07-16,Acko General Insurance,Series A,12000000.0,2018,2016,Mumbai,Media/Entertainment
2018-07-16,DocPrime,Seed,50000000.0,2018,2016,Haryana,Automotive
2018-07-17,Pixr8,Seed,50000.0,2018,2016,Ghaziabad,Media/Entertainment
2018-07-17,Veritas Finance,Venture - Series Unknown,30000000.0,2018,2016,Guindy,Finance
2018-07-18,Inc42,Seed,5800000.0,2018,2016,New Delhi,Media/Entertainment
2018-07-18,McXtra,Seed,1300000.0,2018,2016,Andheri,Finance
2018-07-21,Hashtag Loyalty Private Limited,Seed,5800000.0,2018,2016,Mumbai,Consumer Services
2018-07-22,Carmel Organics,Series A,5800000.0,2018,2016,Indore,Manufacture
2018-07-22,Mate Labs,Seed,550000.0,2018,2016,Bangalore,Technology
2018-07-22,Wimoxez,Seed,20000.0,2018,2016,Hyderabad,Technology
2018-07-23,Qbera,Venture - Series Unknown,140000000.0,2018,2016,Bangalore,Finance
2018-07-23,Planet11 eCommerce Solutions India (Avenue11),Corporate Round,260000000.0,2018,2016,Bengaluru,Technology
2018-07-23,Boodmo,Seed,70000000.0,2018,2016,Gurgaon,Consumer Services
2018-07-24,Wow Venue,Venture - Series Unknown,1500000.0,2018,2016,Mumbai,Other
2018-07-24,Kaleidofin,Seed,2800000.0,2018,2016,Chennai,Finance
2018-07-25,LetsMD,Seed,1000000.0,2018,2016,New Delhi,Automotive
2018-07-25,Credy,Seed,1400000.0,2018,2016,Bengaluru,FinTech
2018-07-25,Shuttl,Seed,1000000.0,2018,2016,Gurgaon,Logistics
2018-07-26,Droom Technology Private Limited,Series E,30000000.0,2018,2016,Gurgaon,Automotive
2018-07-28,Paymatrix,Seed,100000.0,2018,2016,Hyderabad,Automotive
2018-07-28,Lavelle Networks,Venture - Series Unknown,20000000.0,2018,2016,Bengaluru,Technology
2018-07-28,LivQuik,Corporate Round,2700000.0,2018,2016,Mumbai,FinTech
2018-07-29,Inner Being Wellness,Angel,35000000.0,2018,2016,Hyderabad,Wellness/Beauty
2018-07-30,Elemential,Seed,1000000.0,2018,2016,Mumbai,Technology
2018-07-30,Signzy,Series A,240000000.0,2018,2016,Bangalore,FinTech
2018-07-30,Benepik,Seed,5800000.0,2018,2016,Gurgaon,Other
2018-08-01,Flock,Seed,5800000.0,2018,2016,India,Media/Entertainment
2018-08-01,Orbo.ai,Seed,5800000.0,2018,2016,Mumbai,Technology
2018-08-02,Zestl,Seed,5800000.0,2018,2016,Pune,Technology
2018-08-02,OneAssist,Seed,2400000.0,2018,2016,Mumbai,Finance
2018-08-02,Reculta,Seed,5800000.0,2018,2016,Noida,Education
2018-08-06,Satin Creditcare Network Limited (SCNL),Seed,30000000.0,2018,2016,New Delhi,Finance
2018-08-08,CivilCops,Pre-Seed,100000.0,2018,2016,Gurgaon,Technology
2018-08-08,Chizel,Seed,5800000.0,2018,2016,Pune,Manufacture
2018-08-09,DigiConnectt Technologys,Seed,125000.0,2018,2016,Bengaluru,Technology
2018-08-10,Vogo Rentals,Seed,80000000.0,2018,2016,Kormangala,Logistics
2018-08-12,edureka!,Series A,2000000.0,2018,2016,Bangalore,Wellness/Beauty
2018-08-14,Tolet for Students,Seed,5000000.0,2018,2016,Jodhpur,Hospitality
2018-08-14,PrestLoans,Seed,100000.0,2018,2016,New Delhi,FinTech
