Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-04-15,artbandhu,Pre-Seed,15000.0,2018,2016,Bangalore,Media/Entertainment
2018-04-15,Shape (School Health and Physical Education),Seed,200000.0,2018,2016,Pune,Education
2018-04-16,Kidovators (by GyanLab),Seed,180000.0,2018,2016,Bangalore,Education
2018-04-16,Wicked Ride Adventure Services Private Limited,Venture - Series Unknown,10000000.0,2018,2016,Bangalore,Automotive
2018-04-17,Career Anna,Seed,40000000.0,2018,2016,Bangalore,Education
2018-04-18,Doubtnut,Seed,35000000.0,2018,2016,Gurgaon,Education
2018-04-19,CropIn Technologies,Series B,580000000.0,2018,2016,Bangalore,Agriculture
2018-04-19,AppWharf,Seed,5800000.0,2018,2016,New Delhi,Technology
2018-04-20,Impact Guru,Series A,2000000.0,2018,2016,Mumbai,Automotive
2018-04-20,Dainik Jagran,Seed,40000000.0,2018,2016,Kanpur,Media/Entertainment
2018-04-20,hoi foods,Seed,36000000.0,2018,2016,Gurgaon,Consumables
2018-04-20,MyNewCar.in,Venture - Series Unknown,1000000.0,2018,2016,Gurgaon,Automotive
2018-04-21,MyLoanCare,Series A,65000000.0,2018,2016,Gurgaon,Marketing
2018-04-22,UnoTag,Pre-Seed,100000.0,2018,2016,Bangalore,Technology
2018-04-24,UrbanPiper,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-04-25,Eggoz,Angel,12000000.0,2018,2016,Indore,Consumables
2018-04-27,AuthMetrik,Grant,10000.0,2018,2016,Gurgaon,E-Commerce
2018-04-27,Mihuru,Seed,150000.0,2018,2016,Mumbai,Logistics
2018-04-27,Royal Sundaram General Insurance Co. Limited,Corporate Round,210000000.0,2018,2016,Kalpakkam,Healthcare
2018-04-27,Mamaearth,Series A,4000000.0,2018,2016,Gurgaon,Consumer Services
2018-04-28,Khidki,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-04-28,MedCords,Seed,26400000.0,2018,2016,Pune,Wellness/Beauty
2018-04-29,Heelium,Seed,5800000.0,2018,2016,Pune,Gaming
2018-04-29,Groww,Seed,120000.0,2018,2016,Kormangala,Finance
2018-04-30,Technology 9 Labs (T9L),Corporate Round,5800000.0,2018,2016,New Delhi,Technology
2018-04-30,Loanzen,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-05-01,TECHBOOZE,Seed,100000.0,2018,2016,New Delhi,Education
2018-05-03,Magicpin,Series C,1410000000.0,2018,2016,Gurgaon,Consumer Services
2018-05-04,Udaan,Series C,225000000.0,2018,2016,Bangalore,E-Commerce
2018-05-05,Sequretek,Venture - Series Unknown,3700000.0,2018,2016,Mumbai,Technology
2018-05-06,HousingMan.com,Seed,103000000.0,2018,2016,Bangalore,Real Estate
2018-05-06,CollPoll,Seed,5800000.0,2018,2016,Bangalore,Education
2018-05-06,Avenues Payments India Pvt. Ltd.,Corporate Round,1300000.0,2018,2016,Mumbai,Technology
2018-05-07,OTO Capital,Seed,50000000.0,2018,2016,Mumbai,Automotive
2018-05-08,Chezuba,Angel,1400000.0,2018,2016,Hyderabad,Technology
2018-05-09,9stacks,Series A,280000000.0,2018,2016,Delhi,Gaming
2018-05-10,IndigoLearn,Seed,150000.0,2018,2016,Hyderabad,Education
2018-05-10,NirogStreet,Seed,300000.0,2018,2016,Gurgaon,Automotive
2018-05-10,6Degree,Seed,400000.0,2018,2016,Mumbai,Consumer Services
2018-05-10,Inntot Technologies,Seed,5800000.0,2018,2016,Kochi,Consumer Services
2018-05-11,SaffronStays,Seed,2000000.0,2018,2016,Mumbai,Technology
2018-05-11,Nua,Seed,5800000.0,2018,2016,Mumbai,Consumer Services
2018-05-11,Detect Technologies,Series A,3300000.0,2018,2016,Chennai,Energy
2018-05-12,Em Personal Care,Seed,5800000.0,2018,2016,Worli,Wellness/Beauty
2018-05-12,Milkbasket,Series A,7000000.0,2018,2016,Haryana,Consumables
2018-05-13,Freightwalla,Seed,5800000.0,2018,2016,Mumbai,Technology
2018-05-14,Veritas Finance,Venture - Series Unknown,30000000.0,2018,2016,Guindy,Finance
2018-05-14,Roposo,Series C,10000000.0,2018,2016,Gurgaon,Media/Entertainment
2018-05-14,Urban Ladder,Seed,5600000.0,2018,2016,Bangalore,Real Estate
2018-05-15,Cell Propulsion,Seed,7000000.0,2018,2016,Bangalore,Automotive
2018-05-15,Qbera,Venture - Series Unknown,140000000.0,2018,2016,Bangalore,Finance
2018-05-16,Coutloot,Seed,1000000.0,2018,2016,Mumbai,Lifestyle
2018-05-17,ShakeDeal,Seed,5800000.0,2018,2016,Bangalore,E-Commerce
2018-05-17,Aavas Financiers,Seed,2000000000.0,2018,2016,Jaipur,Finance
2018-05-17,Vistara,Seed,-2147483648.0,2018,2016,Haryana,Technology
2018-05-17,Tranzmeo,Pre-Seed,5800000.0,2018,2016,Cochin,Automotive
2018-05-18,Playtoome,Seed,20000000.0,2018,2016,Bangalore,Media/Entertainment
2018-05-18,Ora,Seed,5800000.0,2018,2016,Kolkata,Hospitality
2018-05-19,Togedr,Venture - Series Unknown,5800000.0,2018,2016,Gurgaon,Hospitality
2018-05-20,Sukkhi Jewellery,Venture - Series Unknown,510000000.0,2018,2016,Mumbai,Lifestyle
2018-05-20,GalaxyCard,Seed,5800000.0,2018,2016,Noida,FinTech
2018-05-21,Bounce (Metro Bikes),Seed,3000000.0,2018,2016,Bangalore,Automotive
2018-05-21,myHQ,Series A,500000.0,2018,2016,Delhi,Education
2018-05-21,Entropik Technology,Seed,1100000.0,2018,2016,Bangalore,Technology
2018-05-22,Indiabulls Ventures,Post-IPO Equity,-2147483648.0,2018,2016,Mumbai,Finance
2018-05-23,Benepik,Seed,5800000.0,2018,2016,Gurgaon,Other
2018-05-23,Freshboxx,Seed,5800000.0,2018,2016,Hubli,Consumables
2018-05-25,ION Energy,Venture - Series Unknown,1041000.0,2018,2016,Mumbai,Energy
2018-05-25,Be U Salons,Seed,30000000.0,2018,2016,New Delhi,Consumer Services
2018-05-25,CLP India Pvt. Ltd.,Seed,365000000.0,2018,2016,Mumbai,Energy
2018-05-27,Square Off,Seed,1100000.0,2018,2016,Mumbai,Technology
2018-05-27,Chariot Tech,Seed,20000000.0,2018,2016,New Delhi,Technology
2018-05-28,Billdesk,Venture - Series Unknown,5800000.0,2018,2016,Ahmedabad,FinTech
2018-05-29,InCred,Seed,41900000.0,2018,2016,Mumbai,Finance
2018-05-30,DocPrime,Seed,50000000.0,2018,2016,Haryana,Automotive
2018-05-30,Finwego,Seed,5800000.0,2018,2016,Chennai,Finance
2018-05-31,Gugu,Seed,250000.0,2018,2016,Coimbatore,Energy
2018-06-01,Quikr,Seed,550000000.0,2018,2016,Bangalore,Logistics
2018-06-01,Rockmetric,Grant,5800000.0,2018,2016,Mumbai,Technology
2018-06-01,HeyHolidays,Seed,1000000.0,2018,2016,Bangalore,Logistics
2018-06-01,Leena AI,Seed,2000000.0,2018,2016,Gurgaon,Technology
2018-06-01,GuruQ,Seed,25000000.0,2018,2016,New Delhi,Technology
2018-06-01,ZunRoof,Angel,16600000.0,2018,2016,Gurgaon,Consumer Services
2018-06-01,DailyNinja,Series A,5800000.0,2018,2016,Bangalore,Technology
2018-06-02,Earth Food,Seed,64000000.0,2018,2016,Pune,Consumables
2018-06-03,Zomato,Seed,210000000.0,2018,2016,Gurgaon,Consumables
2018-06-03,Inner Being Wellness,Angel,35000000.0,2018,2016,Hyderabad,Wellness/Beauty
2018-06-04,Lendbox,Seed,60000000.0,2018,2016,Delhi,Finance
2018-06-07,Ultraviolette Automotive,Series A,60000.0,2018,2016,Bangalore,Energy
2018-06-07,Qandle,Seed,1200000.0,2018,2016,Gurgaon,Technology
2018-06-07,Ummeed Housing Finance Private Limited,Series C,600000000.0,2018,2016,Haryana,Finance
2018-06-07,Vedantu,Series B,11000000.0,2018,2016,Bangalore,Education
2018-06-09,srJna,Seed,5800000.0,2018,2016,Jaipur,Education
2018-06-09,Satya MicroCapital,Venture - Series Unknown,400000000.0,2018,2016,New Delhi,Finance
2018-06-09,Wow Express,Series A,4500000.0,2018,2016,Mumbai,Technology
2018-06-09,Droom Technology Private Limited,Series E,30000000.0,2018,2016,Gurgaon,Automotive
2018-06-10,Wakefit,Venture - Series Unknown,650000000.0,2018,2016,Bangalore,Consumer Services
2018-06-10,PaisaDukan,Seed,650000.0,2018,2016,Mumbai,Finance
2018-06-11,Planys Technologies,Series A,140200000.0,2018,2016,Chennai,Energy
2018-06-12,Silversparro Technologies Pvt. Ltd,Seed,300000.0,2018,2016,Gurgaon,Technology
2018-06-12,DataTrained,Seed,120000000.0,2018,2016,Bangalore,Education
2018-06-14,Cellerite Systems,Seed,5800000.0,2018,2016,Hyderabad,Automotive
2018-06-15,Rocketium,Seed,20000000.0,2018,2016,Bangalore,Media/Entertainment
2018-06-15,Clensta,Seed,5800000.0,2018,2016,New Delhi,Automotive
2018-06-15,Xplorabox,Seed,5800000.0,2018,2016,Noida,Automotive
2018-06-16,CoinGeto,Seed,120000000.0,2018,2016,Delhi,FinTech
2018-06-17,Tabono,Seed,5800000.0,2018,2016,Gurgaon,Gaming
2018-06-18,Gaia Smart Cities,Seed,5800000.0,2018,2016,Mumbai,Technology
2018-06-18,HungerBox,Series A,4500000.0,2018,2016,Bangalore,Consumables
2018-06-19,HealWell24,Seed,200000.0,2018,2016,Mumbai,Automotive
2018-06-19,PregBuddy,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-06-20,SmartVizX,Seed,1450000.0,2018,2016,Noida,Technology
2018-06-22,Any time Doctor,Angel,5800000.0,2018,2016,Chennai,Technology
2018-06-23,Upwards Fintech,Series A,5000000.0,2018,2016,Mumbai,Finance
2018-06-24,edureka!,Series A,2000000.0,2018,2016,Bangalore,Wellness/Beauty
2018-06-24,Worxogo,Series A,165000000.0,2018,2016,Bangalore,Technology
2018-06-25,NiYO Solutions,Series A,13200000.0,2018,2016,Bangalore,FinTech
2018-06-25,Theranosis Life Sciences,Seed,5800000.0,2018,2016,Hyderabad,Automotive
2018-06-25,NicheAI,Angel,5800000.0,2018,2016,Hyderabad,Technology
2018-06-25,ORO Wealth,Series A,1600000.0,2018,2016,Mumbai,Finance
2018-06-26,The Social Hook,Seed,5800000.0,2018,2016,Bangalore,Marketing
2018-06-27,McXtra,Seed,1300000.0,2018,2016,Andheri,Finance
2018-06-27,Sports Flashes Pvt. Ltd,Seed,1000000.0,2018,2016,New Delhi,Gaming
2018-06-28,CleanseCar,Angel,35000000.0,2018,2016,Bangalore,Automotive
2018-06-30,Loans4SME,Seed,5800000.0,2018,2016,Mumbai,Finance
2018-07-01,Deftouch,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-07-01,Wealthtrust,Seed,500000.0,2018,2016,Mumbai,Finance
2018-07-02,CloudSek,Seed,140000000.0,2018,2016,Bangalore,Technology
2018-07-03,CivilCops,Pre-Seed,100000.0,2018,2016,Gurgaon,Technology
2018-07-04,Hospals,Seed,1500000.0,2018,2016,New Delhi,Logistics
2018-07-07,OPEN,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-07-07,APAC Financial Services,Seed,-2147483648.0,2018,2016,Mumbai,Finance
2018-07-08,Edyoo,Seed,1000000.0,2018,2016,Bangalore,Education
2018-07-09,Orbo.ai,Seed,5800000.0,2018,2016,Mumbai,Technology
2018-07-09,Chtrbox,Angel,10000000.0,2018,2016,Mumbai,Marketing
2018-07-10,iChamp,Seed,5000000.0,2018,2016,Gurgaon,Education
2018-07-11,HealthPlix,Series A,3000000.0,2018,2016,Bangalore,Automotive
2018-07-12,FarmTaaza,Series A,5800000.0,2018,2016,Bangalore,Agriculture
2018-07-13,BizCrum Infotech Pvt. Ltd.,Seed,5800000.0,2018,2016,Delhi,Consumer Services
2018-07-13,Chakr Innovation,Seed,5800000.0,2018,2016,New Delhi,Energy
2018-07-13,HappyEMI,Seed,1000000.0,2018,2016,Bangalore,FinTech
2018-07-14,SectorQube,Seed,5800000.0,2018,2016,Ernakulam,Consumer Services
2018-07-15,BetterPlace Safety Solutions Pvt. Ltd.,Series A,3000000.0,2018,2016,Bangalore City,Wellness/Beauty
2018-07-16,Cloudnine Hospitals,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-07-16,mfine,Series A,4200000.0,2018,2016,Bangalore,Automotive
2018-07-17,ERUDITUS Executive Education,Series C,40000000.0,2018,2016,Mumbai,Education
2018-07-17,BlueJack,Seed,64000000.0,2018,2016,Delhi,Automotive
2018-07-18,Cyclops Medtech,Seed,1000000.0,2018,2016,Bangalore,Automotive
2018-07-20,Eduvanz,Angel,500000.0,2018,2016,Mumbai,Finance
2018-07-20,Rubix108 Technologies,Seed,1000000.0,2018,2016,Pune,Technology
2018-07-21,Food Memories,Seed,5800000.0,2018,2016,Ahmedabad,Consumables
2018-07-22,LetsMD,Seed,1000000.0,2018,2016,New Delhi,Automotive
2018-07-23,InnerChef,Venture - Series Unknown,1760000.0,2018,2016,Gurgaon,Consumables
2018-07-23,BuyForexOnline,Seed,2000000.0,2018,2016,Bangalore,Logistics
2018-07-23,Nivesh.com,Seed,30000000.0,2018,2016,Noida,Marketing
2018-07-23,Wellthy Therapeutics Pvt Ltd,Seed,135000000.0,2018,2016,Mumbai,Automotive
2018-07-24,Blackbuck,Series D,2029600000.0,2018,2016,Bangalore,Logistics
2018-07-26,True Elements,Seed,50000000.0,2018,2016,Pune,Consumables
2018-07-26,GoBolt,Venture - Series Unknown,400000000.0,2018,2016,New Delhi,Logistics
2018-07-27,Stelis Biopharma,Series B,100000000.0,2018,2016,Bangalore,Healthcare
2018-07-28,Bombay Shaving Company,Series A,5800000.0,2018,2016,New Delhi,Consumer Services
2018-07-31,Keito,Seed,5800000.0,2018,2016,Pune,Technology
2018-08-01,Hyperdata.IO,Angel,50000000.0,2018,2016,Hyderabad,Marketing
2018-08-02,Shuttl,Seed,1000000.0,2018,2016,Gurgaon,Logistics
2018-08-02,FoodBuddy,Seed,60000000.0,2018,2016,Belgaum,Consumables
2018-08-04,Fyle,Seed,1100000.0,2018,2016,Bangalore,Logistics
2018-08-04,Disprz,Seed,400000.0,2018,2016,Chennai,Education
